Game,Website,Review,Score
The Legend of Zelda: Ocarina of Time,Nintendorks,"The biggest, most heartpounding and awe-inspiring quest of all. Oh yes, Zelda 64 does indeed own your soul.",100.0
The Legend of Zelda: Ocarina of Time,Weekly Famitsu,10 / 10 / 10 / 10 - platinum [first ever perfect score],100.0
The Legend of Zelda: Ocarina of Time,Gaming Maxx,"Nothing but pure 100% fun, challenging, and lengthy.",100.0
The Legend of Zelda: Ocarina of Time,IGN,"Call us crazy, but when the final version of Zelda 64 arrived in the IGN64 offices, we stopped working, locked ourselves into a room with a big-screen TV and a surround system and played 17 hours straight. After only a few hours of sleep, we were back for more and we couldn't stop until we finished the game. Then, we started over again to find all the secrets.",100.0
The Legend of Zelda: Ocarina of Time,Nintendojo,"[Review Score = 110]  What's significant about this convergence of audio, graphics and gameplay is that you are COMPLETELY IMMERSED in Zelda's world. Why? Because everything is meticulously thought out. Each character and event plays a role in a storyline that sprawls like a J.R. Tolkien masterpiece...It's certainly the game of the decade.",100.0
The Legend of Zelda: Ocarina of Time,GameSpot,A game that can't be called anything other than flawless...This is the masterpiece that people will still be talking about ten years down the road.,100.0
The Legend of Zelda: Ocarina of Time,Cincinnati Enquirer,This Zelda adventure will undoubtedly withstand the test of time and take its place as one of the best games to ever grace a home system.,100.0
The Legend of Zelda: Ocarina of Time,Nintendophiles,My favorite game of all Time. It is the perfect example of a perfect and polished game. Every aspect of the game is virtually flawless.,100.0
The Legend of Zelda: Ocarina of Time,Electric Playground,Perfect. Epic. Unstoppable. Unbeatable. Irresistible. Sensational...The best videogame I have ever played. It is the crowning jewel of the industry. It is Nintendo's finest achievement.,100.0
The Legend of Zelda: Ocarina of Time,Electronic Gaming Monthly,"An epic adventure that is among the best N64 games. [Jan 2004, p.189]",100.0
The Legend of Zelda: Ocarina of Time,GameShark,"This is, without a doubt, one of the all-time greatest games made. 50 years from now people will still be playing and enjoying this game... thoroughly.",100.0
The Legend of Zelda: Ocarina of Time,Game Critics,"High praise goes to them for also managing to fit joy, creativity and discovery into the game and doing so without the use of Full-Motion Video (FMV) and the CD soundtrack his critics said was needed. This game is simply the most complete experience of any game ever made making Ocarina Of Time the game I've always dreamed of playing.",100.0
The Legend of Zelda: Ocarina of Time,Games Domain,"A truly remarkable achievement. Nintendo have created a beautiful game world and breathed life into it with puzzles, secrets, enemies, and loveable characters that will completely engross gamers around the globe. Stunning attention to detail is present throughout the game and is constantly evident in the visuals, audio and gameplay.",100.0
The Legend of Zelda: Ocarina of Time,All Game Guide,"The amount of secrets and little things will astound you if you take the time to fully appreciate the vast world that lies before you. No matter how skeptical you are, do yourself a favor and try this title for five minutes. That's about how long it will take to get you completely drawn into this incredible adventure.",100.0
The Legend of Zelda: Ocarina of Time,Game Revolution,"The N64 is a 3D workhorse, and Zelda proves it with great textures, lighting, tons of little environmental effects, and smooooth framerates with no slowdown. Faces, the toughest graphical challenge on 3D characters, are fantastic in Zelda. Characters blink, look around and change expressions with surprising grace.",100.0
The Legend of Zelda: Ocarina of Time,GamePro,"This is Zelda supreme. It's fun. One hitch, however, is that the skill level gets progressively harder - so hard that casual gamers might give up rather quickly.",100.0
The Legend of Zelda: Ocarina of Time,Adrenaline Vault,"Ocarina of Time is the complete package appealing to one and all, and is the definitive accomplishment in game design.",100.0
The Legend of Zelda: Ocarina of Time,Hot Games,"A slightly flawed masterpiece, but a masterpiece nonetheless.",100.0
The Legend of Zelda: Ocarina of Time,TotalGames.net,"When it comes to what people will now demand of a top videogame, Nintendo has moved the goalposts off the pitch, into a lorry, down the road, into the airport, onto a plane and halfway round the world to a different continent entirely.",98.0
The Legend of Zelda: Ocarina of Time,Gaming Age,"Featuring unparalleled 3D environments, a deep and involved quest, brilliant and intuitive play controls, and a well-developed cinematic quality that enhances rather than overwhelms the whole game experience, Miyamoto's latest soon-to-be-classic title deserves to be played by each and every person who might deign to consider themselves a fan of great games.",95.0
The Legend of Zelda: Ocarina of Time,My Gamer,"The player will be drawn into the Zelda fantasy world from the moment the opening sequence bursts onto the screen, and the game won't let go-not even after finishing the quest.",94.0
The Legend of Zelda: Ocarina of Time,Happy Puppy,Realism is one of the major reasons this title is so amazing. After playing for a while it feels as though you have actually been to Hyrule.,90.0
SoulCalibur,CheckOut,"I guarantee you'll be amazed at how phenomenal this game looks, and you won't be able to put it down.",100.0
SoulCalibur,Gamestyle,"This is - or was - bleeding edge technology; the 'Sole Calibre' of Dreamcast's Distinction, and it shall remain so... until Namco's elite inevitably trump themselves.",100.0
SoulCalibur,CNET Gamecenter,"It blows away every 3D fighting game I've ever played (even ""Virtua Fighter 3,"" and by a much bigger margin than I expected!), so go buy it when you get your Dreamcast, or feel like a total fool when it's sold out the next day. ",100.0
SoulCalibur,Antagonist,"The great gameplay, large variety of options, and the absolutely astounding visuals combine to make this game near perfect. ",100.0
SoulCalibur,IGN,The number one reason to buy a Dreamcast.,100.0
SoulCalibur,Gaming Maxx,"If ""Soul Calibur"" (is) not perfect, it is without question the closest thing to it. ",100.0
SoulCalibur,GameSpot,"For sheer adrenaline working in tandem with eye-melting graphics, nothing could touch it.",100.0
SoulCalibur,Da Gameboyz,"A technological masterpiece that is also a great enjoyment to play. All I have to say is run, do not walk, to your video game store and buy this work of art, for if you do not, I will send the final character from the game, Inferno, to influence your purchase decision.",100.0
SoulCalibur,Daily Radar,This is the most beautiful fighting game ever to grace a home console. ,100.0
SoulCalibur,Games Radar,"Polished to a piercing gleam, considered beyond mortally tangible thought, it's the best beat 'em up we've played in years. ",100.0
SoulCalibur,DC Swirl,"Let's just put it this way, if you have a Dreamcast and there isn't a ""Soul Calibur"" Disk sitting close by then you're getting ripped off. ",100.0
SoulCalibur,Hot Games,"Stunning 3D backgrounds, convincingly animated (to put it mildly) characters and superfluous effects are carried out in fine style with no hint of slowdown, all the while running in glorious high-res. ",100.0
SoulCalibur,Gaming Age,"With increased detail running at a higher resolution and maintaining the same frame rate, it quite literally leaves the arcade version for dead. That's 640x480 at a constant 60fps. ",100.0
SoulCalibur,GamePro,"Without a doubt the best looking fighting game ever, with nuances like muscle rippling, facial expressions of pain, fear, and anger, and caustic lighting effects that dazzle the eyes. ",100.0
SoulCalibur,AllDreamcast,"The only thing missing is internet multi-player capability, but you can't have everything, can you...",98.0
SoulCalibur,Game Fan,"""Soul Calibur's""only detectable flaw... while professed SC masters may think that they can manhandle any selectable character, the ugly truth is that some of the game's characters are completely over- and under-powered. ",98.0
SoulCalibur,Dreamcast.net,"If you like fighting games, ""Soul Calibur"" on the DreamCast is without a doubt, better than any fighting game on any console or in the arcades. Period! Need I say more? I don't think so.",97.0
SoulCalibur,Sega X,"Visual presentation, with the fluid motion and beautiful fighting styles is the games strongest aspect. ",95.0
SoulCalibur,Planet Dreamcast,"The graphics, particularly the character models and animation, are stunning. The fighting is both strategic and intense, fun to watch and fun to play.",95.0
SoulCalibur,Game Revolution,"The sound is good, but not good enough to be noticeable when combined with jaw-dropping graphics. ",91.0
SoulCalibur,Happy Puppy,You won't touch your PlayStation or N64 again.,90.0
SoulCalibur,GamerWeb Sega,Brilliance. ,90.0
SoulCalibur,Total Video Games,"This really is a staggering game with so much effort obviously put in to it, you just have to be impressed. ",90.0
SoulCalibur,Cincinnati Enquirer,"""Soul Calibur"" revolutionizes (3D Fighting) with amazing graphics, intriguing characters and an incredibly smooth 60 frame per second game engine. ",88.0
Grand Theft Auto IV,Official Xbox Magazine UK,"It's got a world you believe in, a cast you care about and a script stuffed with brilliant moments... Utterly stunning in every resepct. [May 2008, p.79]",100.0
Grand Theft Auto IV,IGN UK,"Expectations were so high for Grand Theft Auto IV that one of the biggest surprises is that it's managed to meet them. That it's also gone on to confound these is truly a marvel, and the game's Liberty City is nothing less than one of the greatest videogame worlds yet conceived.",100.0
Grand Theft Auto IV,IGN,"I could go on and on about why Grand Theft Auto IV is one of the best games we've ever seen and why even folks who are easily offended should play it, but that would be pointless. The only thing you need to know is that you have to play this game. Period.",100.0
Grand Theft Auto IV,Eurogamer,"Almost everything you do in Liberty City would be good enough to drive its own game, and the best parts would be good enough to outrun the competition, but the reason it works so well is that Rockstar has made a game that requires no patience to play. This, as much as its usual coherency and the best script in the series, is what makes GTA IV the best openworld game yet, and why it will take something miraculous to rob it of game of the year status.",100.0
Grand Theft Auto IV,1UP,"None of these little flaws take away from Liberty City's breathtaking vistas, incredibly varied scenery, and lived-in look (the PS3 version has the slightest visual edge, plus motion-control support -- but then it's missing Achievements and the eventual downloadable episodes exclusive to the 360 game). The city just feels alive.",100.0
Grand Theft Auto IV,GameSpy,"The very nature of the American Dream is the central theme in Rockstar Games' Grand Theft Auto IV, a gaming masterpiece that is a picture-perfect snapshot of the underworld of today's big cities. This is not only the finest title of the generation thus far, it is one of the best games of all-time.",100.0
